,portfolio_nav,benchmark_nav,portfolio_daily_ret,benchmark_daily_ret
2019-04-02,1.001159566684287,1.000489685356067,0.0011595666842868723,0.0004896853560669712
2019-04-03,1.0005151659194187,1.0020643784739023,-0.0006436544046645621,0.0015739223910888889
2019-04-04,0.9829910051704941,1.0047230099120585,-0.017515137546986435,0.002653154323482898
2019-04-05,0.9837731792514873,1.0095862354805498,0.0007957082789965542,0.0048403644790786515
2019-04-08,0.9815377383242643,1.0103562333226546,-0.00227231334861544,0.0007626865492458279
2019-04-09,0.9787661699261115,1.0051782354881547,-0.002823700291834452,-0.005124922936805665
2019-04-10,0.9837057813096849,1.0086068647684157,0.005046773719147035,0.003410966492520595
2019-04-11,0.9779998043850192,1.0083265522823779,-0.005800491400049346,-0.00027792046220331823
2019-04-12,0.9736083647210675,1.0151491134092745,-0.00449022550338154,0.006766221827099184
2019-04-15,0.9716057453512869,1.0144842773094942,-0.0020569044416071545,-0.0006549147223776641
2019-04-16,0.9560929383786327,1.0151491134092745,-0.015966154015531697,0.000655343916756923
2019-04-17,0.9275295059590658,1.012665276234349,-0.02987516304430147,-0.0024467707670883243
2019-04-18,0.9281367942561786,1.0146589527458976,0.0006547374430798669,0.0019687418521567857
2019-04-22,0.9367854951624097,1.0155339935034993,0.009318347208896372,0.000862398892981453
2019-04-23,0.9528129588064335,1.024665478715263,0.017109000648270235,0.008991806547273606
2019-04-24,0.9524497037296974,1.0223910144103667,-0.00038124489531625726,-0.0022197139965601798
2019-04-25,0.9643704280362787,1.021761351051522,0.012515857015757281,-0.000615873330232497
2019-04-26,0.964783449499704,1.0265196525313438,0.0004282809296280776,0.004656959743999822
2019-04-29,0.95886525933508,1.0281286866023225,-0.006134216095531997,0.0015674654323576398
2019-04-30,0.9653079388074197,1.0286536635261525,0.006719066531628482,0.0005106140220296762
2019-05-01,0.9559423017176601,1.0209216018616833,-0.009702227354858706,-0.00751668121023763
2019-05-02,0.9597045519249635,1.0187174830386583,0.0039356456980126795,-0.0021589501280075973
2019-05-03,0.9621944085015504,1.0286887174402606,0.002594399048741436,0.009788027169083113
2019-05-06,0.9601614309122966,1.024455392884269,-0.0021128553349419655,-0.004115262940304842
2019-05-07,0.9385198702875353,1.0073470627434165,-0.02253950213788376,-0.01669992686815336
2019-05-08,0.9393793082491589,1.0059477580229494,0.0009157376298919662,-0.0013890989235191276
2019-05-09,0.9366765853240642,1.0029041276637407,-0.002877136957734483,-0.003025634616643069
2019-05-10,0.9440304206561067,1.007941909841808,0.007850986612949518,0.005023194180886259
2019-05-13,0.9222575262047726,0.9826123674011431,-0.023063763598001108,-0.025129962543814055
2019-05-14,0.9341554000362629,0.9914987722812183,0.012900815112294817,0.009043652588638151
2019-05-15,0.9348632238613391,0.9973064334745628,0.0007577152848967205,0.005857456767175195
2019-05-16,0.9492615686805521,1.006542605121341,0.015401552282420905,0.009261117081737824
2019-05-17,0.9392508812442709,1.0000349350872806,-0.010545762903048738,-0.00646536967332445
2019-05-20,0.9398608981412578,0.9934228162718605,0.0006494717323860755,-0.006611887828541718
2019-05-21,0.9441519902820297,1.0023793883935657,0.004565667269761264,0.009015871162812328
2019-05-22,0.9538734462164139,0.9993005852934213,0.010296494668702883,-0.0030714948210164295
